Korean,English,hanja_word
뭐,what,
뭘,what (object),
미국,the United States of America,美國
미안하다,sorry,
바꾸다,to change,
바꾸다,to exchange,
바나나,banana,
바다,sea ocean,
바쁘다,busy,
바지,trousers pants,
밖,outside,
반,half,
받다,to receive /to take /to get,
발,foot,
밥,"steamed rice, meal",
방,room with a bed,
방콕,Bangkok,
방학,school holidays,放學
배,"abdomen, stomach | ship/boat",
배고프다,hungry,
배우다,to learn,
백,hundred,
백화점,department store,百貨店
버스,bus,
번,counting unit after number,
벌써,already,
벗다,to take off,
베이징,Beijing,
베트남,Vietnam,
별로,"not really, not particularly",
병,counting unit for bottles,
병원,hospital,病院
보내다,to send,
보내다,to send / to mail,
보다,"to see, to watch, to look at",
복잡하다,crowded jammed,
볼펜,ball-point pen,
부산,Busan,釜山
부엌,kitchen,
부치다,to send / to mail,
분,minute,
불고기,bulgogi,
브라질,Brasil,
비,rain,
비빔밥,bibimbap,
비싸다,expensive,
비행기,airplane,飛行機
빌딩,building,
빠르다,to be fast,
빨간색,red,
빨래하다,to do laundry,
빨리,quickly,
빵,bread,
사,four,
사과,apple,沙果
사과,apple,赦過
사과,apple,謝過
사다,to buy,
사람,"human, person",
사람,person,
사랑하다,to love,
사무실,office,事務室
사용하다,to use,
사월,April,四月
사전,dictionary,死前
사전,dictionary,辭典
사전,dictionary,事前
사전,dictionary,事典
사전,dictionary,私電
사전,dictionary,私田
사진,photograph,寫眞
산,mountain,
살,-years old/counting unit for age | flesh,
살다,to live,
삼,three,
삼성역,Samseong Station,
삼월,March,三月
색,color,
생각,thinking / thought,
생선,fish,生鮮
생선회,sliced raw fish,生鮮膾
생일,birthday,生日
샤워하다,to take a shower,
서울,Seoul,
선생님,teacher,
성함,name (honorific),姓銜
세,three (when modifying a counting unit that follows),
세우다,to stop,
세일,sale,
세탁소,dry cleaner's,洗濯所
셋,three,
소파,sofa,
소포,parcel,小包
손,hand,
손님,customer / guest,
수영,swimming,水泳
수영장,swimming pool,水泳場
수영하다,to swim,
수요일,Wednesday,水曜日
숙제,homework,宿題
숙제하다,to do homework,
숟가락,spoon,
술,liquor,
쉬다,to rest,
쉽다,easy,
스키,skiing,
스키장,ski resort,
스파게티,spaghetti,
슬프다,sad,
시,o'clock,
시간,hour,時間
시간표,time table,時間表
시계,watch / clock,視界
시계,watch / clock,市界
시계,watch / clock,時計
시끄럽다,noisy,
시내,downtown,市內
시월,October,十月
시장,market,市場
시장,market,市長
시청,city hall,市廳
시청,city hall,視聽
시청역,City Hall Station,
시험,test,試驗
식당,restaurant,食堂
신다,to put on (shoes),
신문,newspaper,訊問
신문,newspaper,新聞
신발,shoes,
심심하다,bored,
십,ten,
십만,hundred thousand,十萬
십이월,December,十二月
십일월,November,十一月
싸다,cheap,
쓰다,to wear /to put on (a hat),
쓰다,to write,
씨,"Mr., Miss, Mrs., Ms.",
아기,baby,
아까,"earlier (today), a while ago (today)",
아내,wife,
아들,son,
아래,under / below,
아버지,father,
아이,child,
아이스크림,ice cream,
아주,"very, quite",
아직,"(not) yet, still",
아침,morning,
아프다,to be hurting,
아프다,ill /in pain hurt,
아프리카,Africa,
아홉,nine,
악수하다,to shake hands,
안,inside,
안,not,
안내,information guide,案內
앉다,to sit down,
앞,front,
야구,baseball,野球
야채,vegetable,野菜
약,medicine,
약국,pharmacy,藥局
약속,appointment,約束
어깨,shoulder,
어디,where,
어떤,what kind of,
어떻게,how,
어렵다,difficult,
어머니,mother,
어제,yesterday,
언니,elder sister (female pov),
언제,when,
얼마,how much,
얼마나,how long,
없다,not to have,
여기,here,
여덟,eight,
여동생,younger sister,女同生
여섯,six,
여자,woman female,女子
여행,trip travel,旅行
여행사,travel agency,旅行社
여행하다,to travel,
연구원,researcher,硏究員
연구원,researcher,硏究院
연필,pencil,鉛筆
열,ten,
열,fever,
열다,to open,
엽서,postcard,葉書
영국,the United Kingdom,英國
영어,English (language),囹圄
영어,English (language),英語
영화,movie,榮華
영화,movie,映畵
옆,beside side,
예쁘다,pretty,
예술의,arts,
예약하다,to reserve,
오,five,
오늘,today,
오다,to come,
오렌지,orange,
오른쪽,right side,
오빠,elder brother from a female perspective,
오월,May,五月
오전,morning / a.m.,午前
오후,afternoon / p.m.,午後
온돌방,traditional Korean room / hot-floored room,溫突房
옷,clothes,
옷장,wardrobe / closet,
왜,why,
외국,foreign country,外國
왼쪽,left side,
요금,fare charge,料金
요리,cooking,料理
요리사,chef,料理師
요리하다,to cook,
요일,a day of the week,曜日
요즘,these days nowadays,
우리,we / our,
우산,umbrella,雨傘
우유,milk,牛乳
우체국,post office,郵遞局
운동,exercise / workout,運動
운동하다,to exercise / to work out,
운전,driving,運轉
운전하다,to drive,
원,KRW / won (Korean money),
월,month,
월요일,Monday,月曜日
위,above / on,
유럽,Europe,
육,six,
은행,bank,銀行
은행,bank,銀杏
은행원,bank clerk,銀行員
음식,food,飮食
음악,music,音樂
의사,doctor,擬似
의사,doctor,意思
의사,doctor,醫師
의사,doctor,義士
의자,chair,倚子
의자,chair,椅子
이,two,
이,this,
이거,this (one),
이렇게,like this /in this way,
이름,name,
이메일,e-mail,
이번,this time,
이분,this person (honorific),
이상하다,to be strange,
이야기하다,to talk,
이용,use,利用
인도,India,引導
인도,India,人道
인도,India,引渡
인사동,Insa-dong,
인천공항,Incheon Airport,仁川空港
일,work,
일,one,
일,day,
일곱,seven,
일기,diary,一期
일기,diary,日記
일기,diary,日氣
일본,Japan,日本
일본어,Japanese (language),日本語
일어나다,to get up,
일요일,Sunday,日曜日
일하다,to work,
읽다,to read,
입다,to wear / to put on,
있다,to have,
자다,to sleep,
자리,seat place,
자전거,bicycle,自轉車
자주,often,自主
작년,last year,昨年
작다,small,
잔,counting unit for glasses or cups,
잘하다,be good at,
장미,rose,薔薇
재미없다,not interesting,
재미있다,interesting,
저,he / she,
저,that,
저거,that (one),
저녁,evening,
저분,that person (honorific),
전혀,not at all,
전화,cellular phone/mobile,轉化
전화,cellular phone/mobile,電話
전화번호,telephone number,電話番號
전화하다,to call,
점심,lunch,點心
젓가락,chopsticks,
정말,"really, truly",
제,my,
제주도,Jeju Island,濟州島
조금,"a little, a bit, a little bit",
좀,please,
좋다,good,
좋아하다,to like,
주다,to give,
주말,weekend,週末
주소,address,住所
주스,juice,
주일,week,駐日
주일,week,主日
주일,week,週日
주차장,parking lot,駐車場
준비하다,to prepare,
중국,China,中國
중국어,Chinese (language),中國語
중학생,middle school student,中學生
지갑,wallet,紙匣
지금,now,只今
지난,last,至難
지우개,eraser,
지하철,subway,地下鐵
지하철역,subway station,地下鐵驛
직업,job/ occupation,職業
직원,staff,直員
직원,staff,職員
질문,question,質問
집,house,
집안일,chores,
짧다,short,
쯤,about / around,
찌다,to gain (weight),
찍다,to take (a picture),
차,tea,
차,car,
착하다,to be kind,
찬물,cold water,
참,very / really,
창문,window,窓門
찾다,to look for,
책,book,
책방,bookstore,冊房
책상,desk,冊床
천,thousand,
청바지,jeans,
청소,cleaning,淸掃
청소하다,to clean,
초등학생,elementary school student,初等學生
추석,the Korean Thanksgiving,秋夕
축구,soccer,蹴球
출근하다,to go to work,
출발,departure,出發
출발하다,to depart,
춤추다,to dance,
춥다,cold,
층,floor,
치다,to play / to hit / to strike,
치마,skirt,
친구,friend,親舊
칠,seven,
침대,bed,寢臺
카메라,camera,
캐나다,Canada,
커피,coffee,
커피숍,coffee shop,
컴퓨터,computer,
케이크,cake,
코,nose,
코트,coat,
콜라,cola,
콧물,runny nose,
크다,big,
타다,to get on to ride,
태권도,taekwondo,跆拳道
택시,taxi,
테니스,tennis,
텔레비전,television,
토요일,Saturday,土曜日
투표,vote,投票
투표하다,to vote,
특히,especially,
티셔츠,T-shirt,
파란색,blue,
파리,Paris,
파티,party,
팔,eight,
팔,arm,
편지,letter,便紙
편하다,comfortable,
포도,grape,葡萄
포크,fork,
표,ticket,
프랑스,France,
프랑스어,French (language),
피,blood,
피곤하다,tired,
피라미드,pyramid,
피아노,piano,
피우다,to smoke (a cigarette),
피자,pizza,
하나,one,
하다,to do,
하루,one day,
하얀색,white,
학교,school,學校
학생,student,學生
한,one (when modifying a counting unit that follows),
한국,Korea,韓國
한국어,Korean (language),韓國語
한라산,Hallasan,漢拏山
한번,once,
한복,hanbok (traditional Korean costume),韓服
할머니,grandmother,
할아버지,grandfather,
항상,always,恒常
핸드폰,mobile phone,
햄버거,hamburger,
허리,waist,
형,elder brother from a male perspective,
형,older brother,
호선,subway line number,號線
호주,Australia,濠洲
호주,Australia,戶主
호텔,hotel,
혼자,alone,
홍차,black tea,紅茶
화요일,Tuesday,火曜日
화장실,rest room,化粧室
회사,company,會社
회사원,company employee,會社員
회색,grey,灰色
회의하다,to hold a meeting,
휴가,leave / vacation,休暇
휴대,being portable,携帶
힘들다,laborous hard,
